DSS ADDRESS LIST,Division,Area of Operation,LGA Name,Property Group,Number of Beds,Number of Residents,Active Cases,Total Cases,First Dose,Second Dose,Third Dose,Number of People Tested
"2-6 MELALEUCA DRIVE, CLARINDA, VIC, 3169",South,South-East,Kingston City,SRS,30,20,,,5,5,5,
"264 HIGH STREET, ASHBURTON, VIC, 3147",East,South-East,Boroondara City,SRS,60,45,,1,5,5,5,
"29 DONNITHORNE STREET, KYNETON, VIC, 3444",North,Loddon Mallee,Macedon Ranges Shire,SRS,19,22,,1,6,6,2,
"290A GEELONG ROAD, WEST FOOTSCRAY, VIC, 3012",West,Western,Maribyrnong City,SRS,22,27,,1,3,2,1,25
"29-31 FINTONIA ROAD, NOBLE PARK, VIC, 3174",South,South-East,Greater Dandenong City,SRS,31,31,,20,16,14,12,7
"29-31 UNION STREET, BRIGHTON EAST, VIC, 3187",South,South-East,Bayside City,SRS,22,15,,,3,3,1,1
"294-296 WARRIGAL ROAD, CHELTENHAM, VIC, 3192",South,South-East,Kingston City,SRS,54,42,,3,9,9,5,
"3 MOOLA STREET, BLACK HILL, VIC, 3350",West,Grampians,Ballarat City,SRS,30,30,,,8,8,8,
"30 FOREST ROAD, FERNTREE GULLY, VIC, 3156",East,North-East,Knox City,SRS,32,23,,,7,7,1,1
"31-35 EXETER ROAD, CROYDON NORTH, VIC, 3136",East,North-East,Maroondah City,SRS,40,28,,12,11,11,6,34
"314 REYNOLDS ROAD, DONVALE, VIC, 3111",East,North-East,Manningham City,SRS,45,36,,,10,10,9,1
"324 NICHOLSON STREET, BLACK HILL, VIC, 3350",West,Grampians,Ballarat City,SRS,66,66,19,19,19,19,13,57
"336 BLACKBURN ROAD, BURWOOD EAST, VIC, 3151",East,North-East,Whitehorse City,SRS,23,20,,1,10,9,8,25
"35 MT DANDENONG ROAD, RINGWOOD EAST, VIC, 3135",East,North-East,Maroondah City,SRS,36,26,,,10,10,6,
"355 SPRINGVALE ROAD, DONVALE, VIC, 3111",East,North-East,Manningham City,SRS,28,24,,21,19,19,2,5
"36 LYTTON STREET, GLENROY, VIC, 3046",North,North-East,Moreland City,SRS,36,33,,12,12,11,7,14
"362-366 DORSET ROAD, CROYDON, VIC, 3136",East,North-East,Maroondah City,SRS,30,29,,,9,8,5,1
"36-38 POWER STREET, DANDENONG, VIC, 3175",South,South-East,Greater Dandenong City,SRS,19,,,,1,1,1,
"37 BAMFIELD ROAD, HEIDELBERG HEIGHTS, VIC, 3081",North,North-East,Banyule City,SRS,22,21,,1,4,3,2,4
"37 BURKE ROAD, MALVERN EAST, VIC, 3145",South,South-East,Stonnington City,SRS,21,19,,,9,9,7,
"37-41 SCHOOL ROAD, EAGLE POINT, VIC, 3878",South,Gippsland,East Gippsland Shire,SRS,30,18,,,7,6,3,
"38 STATION STREET, ASPENDALE, VIC, 3195",South,South-East,Kingston City,SRS,30,33,,,10,9,6,1
"382-384 NEPEAN HIGHWAY, FRANKSTON, VIC, 3199",South,South-East,Frankston City,SRS,45,45,,,25,24,19,7
"382-384 PRINCES HIGHWAY, NOBLE PARK NORTH, VIC, 3174",South,South-East,Greater Dandenong City,SRS,21,19,,17,10,10,,2
"383-385 MAROONDAH HIGHWAY, CROYDON NORTH, VIC, 3136",East,North-East,Maroondah City,SRS,53,41,,,17,15,10,2
"391-393 MAROONDAH HIGHWAY, CROYDON NORTH, VIC, 3136",East,North-East,Maroondah City,SRS,53,41,,3,7,6,4,
"392 HIGH STREET, GOLDEN SQUARE, VIC, 3555",North,Loddon Mallee,Greater Bendigo City,SRS,80,70,,,27,25,16,17
"4 MELBOURNE ROAD, BROWN HILL, VIC, 3350",West,Grampians,Ballarat City,SRS,14,12,,,4,3,3,2
"40 CENTRAL AVENUE, BORONIA, VIC, 3155",East,North-East,Knox City,SRS,31,24,,,16,15,10,
"401-403 ELGAR ROAD, BOX HILL NORTH, VIC, 3129",East,North-East,Whitehorse City,SRS,23,16,,,10,10,10,
"42 OLD WARRANDYTE ROAD, DONVALE, VIC, 3111",East,North-East,Manningham City,SRS,38,30,,1,16,11,6,1
"430-432 MAIN ROAD, LOWER PLENTY, VIC, 3093",North,North-East,Banyule City,SRS,46,35,,,9,6,4,2
"43-45 LYALL STREET, CRANBOURNE, VIC, 3977",South,South-East,Casey City,SRS,32,25,,3,10,9,8,15
"436 WARRIGAL ROAD, ASHBURTON, VIC, 3147",East,South-East,Boroondara City,SRS,45,32,,7,,,,2
"44 PARK CRESCENT, FAIRFIELD, VIC, 3078",North,North-East,Yarra City,SRS,25,13,,,2,2,1,1
"455-457 BLUFF ROAD, HAMPTON, VIC, 3188",South,South-East,Bayside City,SRS,38,29,,15,15,14,12,1
"46-48 ROYAL AVENUE, ESSENDON NORTH, VIC, 3041",West,Western,Moonee Valley City,SRS,31,19,,1,13,10,4,30
"48 LIVERPOOL ROAD, KILSYTH, VIC, 3137",East,North-East,Yarra Ranges Shire,SRS,45,30,,2,23,23,18,30
"5 QUEEN STREET, LALOR, VIC, 3075",North,North-East,Whittlesea City,SRS,35,26,,,8,7,7,43
"509-513 KOOYONG ROAD, GARDENVALE, VIC, 3185",South,South-East,Glen Eira City,SRS,30,25,,,11,11,7,
"51 CLARKE STREET, LILYDALE, VIC, 3140",East,North-East,Yarra Ranges Shire,SRS,30,19,,3,13,13,9,12
"52-54 GEORGE STREET, DONCASTER EAST, VIC, 3109",East,North-East,Manningham City,SRS,23,18,,,4,3,3,
"54-56 MT DANDENONG ROAD, RINGWOOD EAST, VIC, 3135",East,North-East,Maroondah City,SRS,36,26,,,20,20,15,
"569 UPPER HEIDELBERG ROAD, HEIDELBERG HEIGHTS, VIC, 3081",North,North-East,Banyule City,SRS,43,21,,3,2,2,2,1
"5-7 MURPHY STREET, KENNINGTON, VIC, 3550",North,Loddon Mallee,Greater Bendigo City,SRS,30,,,,,,,
"582 UPPER HEIDELBERG ROAD, HEIDELBERG, VIC, 3084",North,North-East,Banyule City,SRS,31,27,,,10,8,7,2
"59 WARKIL STREET, COBRAM, VIC, 3644",East,Goulburn Valley,Moira Shire,SRS,32,21,,,4,3,1,
"597 WARRIGAL ROAD, ASHWOOD, VIC, 3147",East,North-East,Monash City,SRS,30,22,,,5,5,5,
"5A LIEGE AVENUE, NOBLE PARK, VIC, 3174",South,South-East,Greater Dandenong City,SRS,47,22,,,6,6,5,6
"6 VICTORIA STREET, HASTINGS, VIC, 3915",South,South-East,Mornington Peninsula Shire,SRS,28,26,,1,2,2,2,
"610-614 ELGAR ROAD, BOX HILL NORTH, VIC, 3129",East,North-East,Whitehorse City,SRS,36,25,,4,11,8,8,1
"633 BARKLY STREET, WEST FOOTSCRAY, VIC, 3012",West,Western,Maribyrnong City,SRS,30,30,,,22,22,21,5
"65 KOROIT STREET, WARRNAMBOOL, VIC, 3280",West,Barwon,Warrnambool City,SRS,45,34,,,4,4,4,2
"662 MOUNTAIN HIGHWAY, BAYSWATER, VIC, 3153",East,North-East,Knox City,SRS,22,18,,2,13,13,12,3
"66-70 NEPEAN HIGHWAY, MENTONE, VIC, 3194",South,South-East,Kingston City,SRS,42,21,,,3,3,3,3
"6-8 GEORGE STREET, RESERVOIR, VIC, 3073",North,North-East,Darebin City,SRS,29,31,1,13,8,7,6,
"7 MUDIE AVENUE, SUNBURY, VIC, 3429",North,North-East,Hume City,SRS,5,2,,,3,3,2,
"70 HENRY STREET, TRARALGON, VIC, 3844",South,Gippsland,Latrobe City,SRS,47,40,,6,19,17,17,69
"71-75 WAVERLEY ROAD, MALVERN EAST, VIC, 3145",South,South-East,Stonnington City,SRS,25,25,,,8,8,8,
"74 WARRANDYTE ROAD, RINGWOOD, VIC, 3134",East,North-East,Maroondah City,SRS,58,45,,,27,25,20,4
"74A MARIBYRNONG ROAD, MOONEE PONDS, VIC, 3039",West,Western,Moonee Valley City,SRS,40,36,,1,17,17,15,43
"79 BENTONS ROAD, MORNINGTON, VIC, 3931",South,South-East,Mornington Peninsula Shire,SRS,30,25,,,9,9,6,5
"7-9 HUNTER STREET, HAWTHORN, VIC, 3122",East,South-East,Boroondara City,SRS,55,50,,17,2,2,2,
